iter	RMSE
0	0.4665533676
1	0.4494371094
2	0.4336935696
3	0.4187790281
4	0.4045279311
5	0.3908862267
6	0.3776921782
7	0.3646878784
8	0.3523797462
9	0.340993258
10	0.330237295
11	0.3200854773
12	0.3108629321
13	0.3019056951
14	0.2934455154
15	0.2848024904
16	0.2776077147
17	0.2704181493
18	0.2638083709
19	0.2573978677
20	0.2509628899
21	0.2452986112
22	0.2395074677
23	0.2341430602
24	0.2290540196
25	0.2242471003
26	0.2199492852
27	0.215624189
28	0.2117955605
29	0.2081826125
30	0.2047348488
31	0.2015103718
32	0.1983518574
33	0.1951027444
34	0.1922832468
35	0.1896365653
36	0.1872155342
37	0.1846912496
38	0.1824531617
39	0.1804141025
40	0.1784451028
41	0.1764785273
42	0.1743147709
43	0.1723926594
44	0.1706288262
45	0.1687565177
46	0.1668296571
47	0.1652808637
48	0.1635734759
49	0.1621805074
50	0.1608119536
51	0.1595655031
52	0.1585384861
53	0.1571510952
54	0.1558768855
55	0.1548965709
56	0.1536444675
57	0.1526936112
58	0.1518181225
59	0.1509369896
60	0.1500179037
61	0.148949623
62	0.1481614177
63	0.1473959547
64	0.1466894605
65	0.1459705687
66	0.1452688316
67	0.1446285372
68	0.1439662406
69	0.1433387971
70	0.14261356
71	0.1419960795
72	0.1412600077
73	0.1406839972
74	0.1401323724
75	0.1396486084
76	0.1390089621
77	0.1384029341
78	0.1378807451
79	0.1372871143
80	0.1368683117
81	0.1364861347
82	0.1357516183
83	0.1352749192
84	0.1348549131
85	0.1344360125
86	0.1339682114
87	0.1335463353
88	0.1332570872
89	0.1329066667
90	0.1325193406
91	0.1321399299
92	0.1317666129
93	0.131472862
94	0.1310675764
95	0.1307916151
96	0.130456087
97	0.1301245475
98	0.1298012398
99	0.1293884782
100	0.1291199666
101	0.1288449536
102	0.1285314972
103	0.1283017161
104	0.1279073184
105	0.1276434642
106	0.1274383401
107	0.1271139197
108	0.1268560386
109	0.1265603497
110	0.1262324575
111	0.1260083381
112	0.1257193859
113	0.1253511129
114	0.1251117646
115	0.1248603958
116	0.1246668782
117	0.1243442595
118	0.1239952521
119	0.1238164788
120	0.1235022786
121	0.1231274152
122	0.1228470805
123	0.1225396044
124	0.1223090891
125	0.1220590452
126	0.1218929116
127	0.1216911063
128	0.1215426975
129	0.1213445888
130	0.1211765633
131	0.1209199257
132	0.1207588485
133	0.1205879742
134	0.1204700113
135	0.1202963191
136	0.120052112
137	0.1198881293
138	0.1196246258
139	0.1194794245
140	0.1192048298
141	0.1189826401
142	0.1187661109
143	0.1185215797
144	0.1183323848
145	0.1180786748
146	0.117945473
147	0.1177707546
148	0.1176530798
149	0.1174865282
150	0.1172629588
151	0.1171199107
152	0.1169317097
153	0.1167173203
154	0.1165289596
155	0.1163678002
156	0.116178101
157	0.1160222436
158	0.1158137047
159	0.1157277726
160	0.1155716062
161	0.1154089292
162	0.1152908353
163	0.1151118869
164	0.114993294
165	0.1148177223
166	0.1146099009
167	0.1144362747
168	0.1142803393
169	0.1140945849
170	0.1139072792
171	0.1137703276
172	0.1136005729
173	0.1134250224
174	0.1132369625
175	0.1130858708
176	0.1128865276
177	0.1127266189
178	0.1126476407
179	0.1125504626
180	0.1124513564
181	0.1122636638
182	0.1121295668
183	0.1119690629
184	0.1118189517
185	0.1116814698
186	0.1115023263
187	0.1113958792
188	0.1112755604
189	0.1110767132
190	0.1109450811
191	0.1108360121
192	0.1107673183
193	0.1105924421
194	0.1104711441
195	0.1103406747
196	0.1101456043
197	0.1099707463
198	0.1098302252
199	0.1097421396
200	0.1096318644
201	0.1095116079
202	0.1093613661
203	0.1092164829
204	0.1090833461
205	0.1089496835
206	0.1088263885
207	0.1086980838
208	0.1085849886
209	0.1084657082
210	0.1083409662
211	0.1082588836
212	0.108140196
213	0.1080433195
214	0.1079709947
215	0.1078301384
216	0.1077444653
217	0.1075964252
218	0.1075151327
219	0.1074265159
220	0.1073289868
221	0.1072862812
222	0.1071954103
223	0.1070774285
224	0.1069568955
225	0.1068606013
226	0.1067367935
227	0.1066077127
228	0.1064874133
229	0.1063961604
230	0.1063001555
231	0.1061909683
232	0.1061389219
233	0.1059883358
234	0.1059086157
235	0.105783317
236	0.1057079311
237	0.1056088028
238	0.1055376571
239	0.1054576695
240	0.1053918705
241	0.105321382
242	0.1052187635
243	0.1051110291
244	0.1050510414
245	0.1049667492
246	0.1048898354
247	0.1047979503
248	0.10475897
249	0.1046878356
250	0.1045754559
251	0.1045220955
252	0.1044543714
253	0.1043513019
254	0.1042080712
255	0.1041690165
256	0.1040796111
257	0.1039897907
258	0.1039063845
259	0.1037813214
260	0.1036556421
261	0.1035720454
262	0.1035127784
263	0.1034329805
264	0.1033211317
265	0.1032960453
266	0.1032289349
267	0.1031943461
268	0.1031385544
269	0.1030654452
270	0.1029799345
271	0.1029104635
272	0.1028201826
273	0.1026963435
274	0.1026411109
275	0.1025393346
276	0.1024603251
277	0.1024178144
278	0.1023102704
279	0.1022035284
280	0.102179361
281	0.1020767857
282	0.1019803955
283	0.1018963234
284	0.1017475445
285	0.1016930713
286	0.1016356056
287	0.1015960821
288	0.1015281848
289	0.1014616595
290	0.1013826678
291	0.101292312
292	0.1012708038
293	0.1011866899
294	0.1011220225
295	0.1010616188
296	0.1010163298
297	0.1009249074
298	0.1008623341
299	0.1008191252
300	0.1007982075
301	0.1007483529
302	0.100680224
303	0.10062244
304	0.1006086642
305	0.1005222958
306	0.1004718813
307	0.1003966884
308	0.1002924955
309	0.1002406367
310	0.100139892
311	0.09998602792
312	0.09994621424
313	0.09992688608
314	0.09990879338
315	0.09985446573
316	0.09980125807
317	0.09973934956
318	0.09967138491
319	0.09959416351
320	0.09954140137
321	0.09952682529
322	0.09944151426
323	0.09938412425
324	0.09933455051
325	0.09923926555
326	0.09917825688
327	0.09905455074
328	0.09899816919
329	0.09893126317
330	0.09885637732
331	0.09884118371
332	0.09879548271
333	0.09876784014
334	0.09875363041
335	0.0987166383
336	0.0986147461
337	0.09854174091
338	0.09850009337
339	0.09845718341
340	0.09839075742
341	0.09829645463
342	0.09823530312
343	0.09817174426
344	0.09805562849
345	0.09797685027
346	0.09794446122
347	0.09792399877
348	0.09781897841
349	0.09777438111
350	0.09773858104
351	0.09766921001
352	0.09762232425
353	0.09751808767
354	0.09743292434
355	0.09742150659
356	0.097375524
357	0.09729033761
358	0.09721130636
359	0.09717713093
360	0.09716437857
361	0.09707151058
362	0.09700237391
363	0.096910491
364	0.09688172516
365	0.09685238559
366	0.09679333546
367	0.09671986992
368	0.09665561803
369	0.0966147348
370	0.0965557282
371	0.09646935963
372	0.09645133246
373	0.09641150289
374	0.0963274465
375	0.0962701187
376	0.09619380234
377	0.09611981183
378	0.09605686634
379	0.09602927361
380	0.0959755871
381	0.09588114828
382	0.09584267459
383	0.09577405789
384	0.09570101909
385	0.09563781614
386	0.09556877689
387	0.09552458167
388	0.09546371866
389	0.09542752415
390	0.09537773113
391	0.09532717496
392	0.09524865466
393	0.09519100784
394	0.09508467071
395	0.0950679059
396	0.09503691242
397	0.09499724878
398	0.09493937402
399	0.094904174
400	0.09486469227
401	0.0948277465
402	0.09477764067
403	0.09473448515
404	0.09466603853
405	0.09461323874
406	0.09451920761
407	0.09445826445
408	0.09442553495
409	0.09438141578
410	0.09433594813
411	0.09430781841
412	0.09426917055
413	0.09422546783
414	0.09419601726
415	0.09413666088
416	0.0940779597
417	0.09401722984
418	0.09400720692
419	0.09395882944
420	0.09387369761
421	0.09381840646
