iter	Passed	Remaining
0	1	742
1	1	518
2	2	467
3	2	434
4	3	409
5	3	393
6	4	379
7	5	370
8	5	361
9	6	365
10	6	361
11	7	354
12	7	350
13	8	346
14	8	344
15	9	341
16	9	337
17	10	337
18	11	336
19	11	334
20	12	333
21	12	331
22	13	330
23	13	328
24	14	327
25	14	325
26	15	324
27	15	322
28	16	320
29	16	320
30	17	319
31	17	318
32	18	317
33	19	318
34	19	321
35	20	320
36	20	319
37	21	318
38	22	316
39	22	315
40	23	314
41	23	313
42	24	312
43	24	312
44	25	311
45	25	310
46	26	309
47	26	308
48	27	307
49	27	306
50	28	305
51	28	304
52	29	303
53	29	302
54	30	303
55	31	302
56	31	301
57	32	300
58	32	300
59	33	299
60	33	299
61	34	298
62	34	297
63	35	296
64	35	296
65	36	295
66	37	294
67	37	293
68	38	292
69	38	291
70	39	290
71	39	290
72	40	289
73	40	289
74	41	288
75	41	287
76	42	287
77	42	286
78	43	285
79	43	284
80	44	283
81	44	282
82	45	282
83	45	281
84	46	281
85	46	280
86	47	279
87	47	278
88	48	278
89	49	277
90	49	277
91	50	276
92	50	276
93	51	276
94	51	275
95	52	274
96	52	274
97	53	273
98	53	272
99	54	272
100	54	271
101	55	270
102	56	270
103	56	269
104	56	268
105	57	267
106	57	267
107	58	266
108	59	266
109	59	265
110	60	264
111	60	264
112	61	263
113	61	262
114	62	262
115	62	261
116	63	261
117	63	260
118	64	260
119	64	259
120	65	259
121	66	258
122	66	257
123	67	257
124	67	257
125	68	256
126	68	256
127	69	255
128	69	255
129	70	254
130	70	253
131	71	253
132	71	252
133	72	252
134	73	251
135	73	250
136	74	250
137	74	249
138	75	249
139	75	248
140	76	247
141	76	247
142	77	246
143	77	246
144	78	245
145	78	245
146	79	244
147	79	243
148	80	243
149	80	242
150	81	242
151	82	242
152	82	241
153	83	241
154	83	240
155	84	240
156	84	239
157	85	238
158	85	238
159	86	237
160	87	237
161	87	236
162	88	236
163	88	235
164	89	235
165	89	234
166	90	233
167	90	233
168	91	232
169	91	232
170	92	231
171	92	231
172	93	230
173	94	230
174	94	229
175	95	229
176	95	228
177	96	228
178	96	227
179	97	226
180	97	226
181	98	225
182	98	225
183	99	224
184	99	224
185	100	223
186	100	223
187	101	222
188	102	221
189	102	221
190	103	220
191	103	220
192	104	219
193	104	219
194	105	218
195	105	218
196	106	217
197	106	217
198	107	216
199	107	215
200	108	215
201	109	214
202	109	214
203	110	213
204	110	213
205	111	212
206	111	212
207	112	211
208	112	211
209	113	210
210	113	210
211	114	209
212	114	208
213	115	208
214	115	207
215	116	207
216	117	206
217	117	206
218	118	206
219	119	205
220	119	204
221	120	204
222	120	203
223	121	203
224	121	202
225	122	202
226	122	201
227	123	201
228	123	200
229	124	200
230	124	199
231	125	198
232	125	198
233	126	197
234	127	197
235	127	196
236	128	196
237	128	195
238	129	195
239	129	194
240	130	193
241	130	193
242	131	192
243	131	192
244	132	191
245	132	191
246	133	190
247	133	190
248	134	189
249	135	189
250	135	188
251	136	187
252	136	187
253	137	186
254	137	186
255	138	185
256	138	185
257	139	184
258	139	184
259	140	183
260	140	183
261	141	182
262	142	182
263	142	181
264	143	181
265	143	180
266	144	180
267	145	179
268	145	179
269	146	178
270	146	177
271	147	177
272	147	176
273	148	176
274	148	175
275	149	175
276	149	174
277	150	174
278	150	173
279	151	172
280	151	172
281	152	171
282	152	171
283	153	170
284	154	170
285	154	169
286	155	169
287	155	168
288	156	168
289	156	167
290	157	167
291	157	166
292	158	165
293	158	165
294	159	164
295	160	164
296	160	163
297	161	163
298	161	162
299	162	162
300	162	161
301	163	161
302	163	160
303	164	159
304	164	159
305	165	158
306	165	158
307	166	157
308	166	157
309	167	156
310	168	156
311	168	155
312	169	155
313	169	154
314	170	153
315	170	153
316	171	152
317	171	152
318	172	151
319	172	151
320	173	150
321	174	150
322	174	149
323	175	149
324	175	148
325	176	148
326	176	147
327	177	147
328	177	146
329	178	145
330	178	145
331	179	144
332	179	144
333	180	143
334	180	143
335	181	142
336	181	141
337	182	141
338	183	140
339	183	140
340	184	139
341	184	139
342	185	138
343	185	138
344	186	137
345	186	137
346	187	136
347	187	136
348	188	135
349	188	134
350	189	134
351	189	133
352	190	133
353	191	132
354	191	132
355	192	131
356	192	131
357	193	130
358	193	130
359	194	129
360	194	128
361	195	128
362	195	127
363	196	127
364	196	126
365	197	126
366	197	125
367	198	125
368	199	124
369	199	124
370	200	123
371	200	123
372	201	122
373	201	121
374	202	121
375	202	120
376	203	120
377	203	119
378	204	119
379	205	118
380	205	118
381	206	117
382	206	117
383	207	116
384	207	116
385	208	115
386	208	114
387	209	114
388	210	113
389	210	113
390	211	112
391	211	112
392	212	111
393	212	111
394	213	110
395	213	110
396	214	109
397	214	109
